title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 14 Pro Max 256GB Silver (MQ9V3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-256gb-silver/p71419410/,False,iPhone 14 Pro Max,256GB,Silver,MQ9V3RX/A
iPhone 12 256GB Black (MGJG3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-256-gb-black/p71300691/,False,iPhone 12 ,256GB,Black,MGJG3FS/A
iPhone 12 128GB Blue (MGJA3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-128-gb-blue/p71300686/,False,iPhone 12 ,128GB,Blue,MGJA3FS/A
iPhone 14 Pro Max 1TB Silver (MQC33RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-1tb-silver/p71419418/,False,iPhone 14 Pro Max,1TB,Silver,MQC33RX/A
iPhone 14 Plus 256GB Starlight (MQ553RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-plus-256gb-starlight/p71419381/,False,iPhone 14 Plus,256GB,Starlight,MQ553RX/A
iPhone 14 Pro 512GB Deep Purple (MQ293RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-512gb-deep-purple/p71419400/,False,iPhone 14 Pro,512GB,Deep Purple,MQ293RX/A
iPhone 14 Pro Max 256GB Gold (MQ9W3RX/A),57499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-256gb-gold/p71419411/,True,iPhone 14 Pro Max,256GB,Gold,MQ9W3RX/A
iPhone 14 Pro 512GB Space Black (MQ1M3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-512gb-space-black/p71419397/,False,iPhone 14 Pro,512GB,Space Black,MQ1M3RX/A
iPhone 13 mini 512GB Pink (MLKD3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-mini-512gb-pink/p71357096/,False,iPhone 13 mini,512GB,Pink,MLKD3
iPhone 13 Pro Max 256GB Sierra Blue (MLLE3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-max-256gb-sierra-blue/p71357119/,False,iPhone 13 Pro Max,256GB,Sierra Blue,MLLE3
iPhone 14 Pro 256GB Silver (MQ103RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-256gb-silver/p71419394/,False,iPhone 14 Pro,256GB,Silver,MQ103RX/A
iPhone 14 Pro 256GB Deep Purple (MQ1F3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-256gb-deep-purple/p71419396/,False,iPhone 14 Pro,256GB,Deep Purple,MQ1F3RX/A
iPhone 14 Plus 128GB (PRODUCT)RED (MQ513RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-plus-128gb-product-red/p71419377/,False,iPhone 14 Plus,128GB,(PRODUCT)RED,MQ513RX/A
