title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 14 128 Gb Yellow,34999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_yellow.html,True,iPhone 14 ,128 Gb,Yellow,
iPhone 14 Pro Max 512GB Gold,67499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_512gb_gold.html,True,iPhone 14 Pro Max,512GB,Gold,
iPhone 11 128GB White (MHDJ3) (без адаптера),23999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-11-128gb-whiteno-adapter-.html,True,iPhone 11 ,128GB,White,MHDJ3
iPhone 13 256GB Midnight (MLQ63HU/A),34999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_black.html,True,iPhone 13 ,256GB,Midnight,MLQ63HU/A
iPhone 14 Pro Max 512GB Deep Purple,67499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_512gb_sierra_blue.html,True,iPhone 14 Pro Max,512GB,Deep Purple,
iPhone 14 128GB PRODUCT Red (APPLE_NEW2022_001),34999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_product_red.html,True,iPhone 14 ,128GB,PRODUCT Red,
iPhone 12 128GB Purple (MJNP3FS/A),25499.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-12-128gb-purple-1.html,True,iPhone 12 ,128GB,Purple,MJNP3FS/A
iPhone 14 Plus 512GB Starlight,48999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_plus_512gb_starlight.html,True,iPhone 14 Plus,512GB,Starlight,
iPhone 14 Pro 512GB Space Black,62499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_512gb_graphite.html,True,iPhone 14 Pro,512GB,Space Black,
iPhone 14 Plus 128GB Midnight,37999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_midnight.html,True,iPhone 14 Plus,128GB,Midnight,
