config.logging_config 2023-12-14 17:13:47,230 INFO Crawling to https://eldorado.ua/uk/smartphones/c1038946/producer=apple/
config.logging_config 2023-12-14 17:13:51,098 INFO Status code: 200
config.logging_config 2023-12-14 17:13:55,002 INFO 'Load more' button is clicked.
config.logging_config 2023-12-14 17:14:02,617 WARNING 'Load more' button is not visible. Proceeding.
config.logging_config 2023-12-14 17:14:04,215 INFO Headless browser was closed.
config.logging_config 2023-12-14 17:14:04,229 INFO Amount of items parsed: 52
config.logging_config 2023-12-14 17:14:04,995 INFO Crawling to https://www.foxtrot.com.ua/uk/shop/odessa/mobilnye_telefony_apple.html
config.logging_config 2023-12-14 17:14:06,959 INFO Status code: 200
config.logging_config 2023-12-14 17:14:07,022 INFO Popup window was closed. Proceeding.
config.logging_config 2023-12-14 17:14:11,449 INFO 'Load more' button is clicked.
config.logging_config 2023-12-14 17:14:13,593 INFO 'Load more' button is clicked.
config.logging_config 2023-12-14 17:14:21,608 WARNING 'Load more' button is not visible. Proceeding.
config.logging_config 2023-12-14 17:14:23,771 INFO Headless browser was closed.
config.logging_config 2023-12-14 17:14:23,790 INFO Amount of items parsed: 108
config.logging_config 2023-12-14 17:14:23,791 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple
config.logging_config 2023-12-14 17:14:23,791 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
config.logging_config 2023-12-14 17:14:23,791 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-14 17:14:23,792 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Midnight
config.logging_config 2023-12-14 17:14:23,792 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Midnight
config.logging_config 2023-12-14 17:14:23,792 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple (APPLE_NEW2022_004)
config.logging_config 2023-12-14 17:14:23,792 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-14 17:14:23,792 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-14 17:14:23,793 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-14 17:14:23,793 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
