title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 13 256 Gb Green (MNGL3HU/A),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_green.html,True,iPhone 13 ,256 Gb,Green,MNGL3HU/A
iPhone 13 256GB Midnight (MLQ63HU/A),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_black.html,True,iPhone 13 ,256GB,Midnight,MLQ63HU/A
iPhone 15 Pro 128GB Blue Titanium (MTV03RX/A),53499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_128gb_gold.html,True,iPhone 15 Pro,128GB,Blue Titanium,MTV03RX/A
iPhone 14 Pro 256GB Deep Purple,52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_256gb_sierra_blue.html,True,iPhone 14 Pro,256GB,Deep Purple,
iPhone 14 Plus 128GB Midnight,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_midnight.html,True,iPhone 14 Plus,128GB,Midnight,
iPhone 13 128GB Pink (MLPH3HU/A),31999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_purple.html,True,iPhone 13 ,128GB,Pink,MLPH3HU/A
iPhone 14 128GB Purple (APPLE_NEW2022_004),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_pink.html,True,iPhone 14 ,128GB,Purple,
iPhone 14 Plus 128GB Starlight,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_starlight.html,True,iPhone 14 Plus,128GB,Starlight,
iPhone 15 256GB Green (MTPA3RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_256gb_product_red.html,True,iPhone 15 ,256GB,Green,MTPA3RX/A
iPhone 15 Pro Max 256GB Blue Titanium (MU7A3RX/A),63499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_max_256gb_gold.html,True,iPhone 15 Pro Max,256GB,Blue Titanium,MU7A3RX/A
iPhone 14 128GB Blue,36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_blue.html,True,iPhone 14 ,128GB,Blue,
iPhone 13 512GB (PRODUCT) RED (MLQF3HU/A),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_64gb_red.html,True,iPhone 13 ,512GB,(PRODUCT) RED,MLQF3HU/A
iPhone 13 256GB Starlight (MLQ73HU/A),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_white.html,True,iPhone 13 ,256GB,Starlight,MLQ73HU/A
iPhone 14 Plus 256GB Blue,46999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_256gb_blue.html,True,iPhone 14 Plus,256GB,Blue,
iPhone 14 Pro Max 256GB Space Black,57499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_256gb_graphite.html,True,iPhone 14 Pro Max,256GB,Space Black,
iPhone 14 Pro 256GB Gold,52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_256gb_gold.html,True,iPhone 14 Pro,256GB,Gold,
iPhone 14 Pro 1TB Space Black,72499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_1tb_graphite.html,True,iPhone 14 Pro,1TB,Space Black,
iPhone 15 Pro 128GB Natural Titanium (MTUX3RX/A),53499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_128gb_deep_purple.html,True,iPhone 15 Pro,128GB,Natural Titanium,MTUX3RX/A
iPhone 15 Plus 256GB Green (MU1G3RX/A),52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_256gb_product_red.html,True,iPhone 15 Plus,256GB,Green,MU1G3RX/A
iPhone 14 Pro Max 1TB Deep Purple (APPLE_NEW2022_051),77499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_1tb_sierra_blue.html,True,iPhone 14 Pro Max,1TB,Deep Purple,
iPhone 12 64GB White (MGJ63FS/A),24999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-12-64gb-white.html,True,iPhone 12 ,64GB,White,MGJ63FS/A
iPhone 14 256GB Blue,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_256gb_blue.html,True,iPhone 14 ,256GB,Blue,
iPhone 15 Plus 128GB Pink (MU103RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_128gb_purple.html,True,iPhone 15 Plus,128GB,Pink,MU103RX/A
iPhone 14 Plus 128GB Blue,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_blue.html,True,iPhone 14 Plus,128GB,Blue,
iPhone 14 Plus 256GB Starlight,46999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_256gb_starlight.html,True,iPhone 14 Plus,256GB,Starlight,
iPhone 14 256GB Starlight,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_256gb_starlight.html,True,iPhone 14 ,256GB,Starlight,
iPhone 15 Plus 256GB Pink (MU193RX/A),52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_256gb_purple.html,True,iPhone 15 Plus,256GB,Pink,MU193RX/A
iPhone 13 256GB Blue (MLQA3HU/A),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_blue.html,True,iPhone 13 ,256GB,Blue,MLQA3HU/A
iPhone 15 Pro 512GB Blue Titanium (MTVA3RX/A),68499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_512gb_gold.html,True,iPhone 15 Pro,512GB,Blue Titanium,MTVA3RX/A
iPhone 14 Plus 512GB Starlight,48999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_plus_512gb_starlight.html,True,iPhone 14 Plus,512GB,Starlight,
iPhone 14 Plus 256GB (PRODUCT) RED,46999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_256gb_product_red.html,True,iPhone 14 Plus,256GB,(PRODUCT) RED,
iPhone 14 Plus 512GB Purple,48999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_plus_512gb_purple.html,True,iPhone 14 Plus,512GB,Purple,
iPhone 15 Plus 256GB Blue (MU1F3RX/A),52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_256gb_blue.html,True,iPhone 15 Plus,256GB,Blue,MU1F3RX/A
iPhone 14 Pro 1TB Deep Purple,72499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_1tb_sierra_blue.html,True,iPhone 14 Pro,1TB,Deep Purple,
iPhone 14 256GB (PRODUCT) RED,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_256gb_product_red.html,True,iPhone 14 ,256GB,(PRODUCT) RED,
iPhone 12 64GB Black (MGJ53FS/A),24999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-12-64gb-black.html,True,iPhone 12 ,64GB,Black,MGJ53FS/A
iPhone 14 Pro Max 1TB Gold (APPLE_NEW2022_049),77499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_1tb_gold.html,True,iPhone 14 Pro Max,1TB,Gold,
iPhone 14 128GB PRODUCT Red (APPLE_NEW2022_001),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_product_red.html,True,iPhone 14 ,128GB,PRODUCT Red,
iPhone 14 Pro Max 512GB Gold,67499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_512gb_gold.html,True,iPhone 14 Pro Max,512GB,Gold,
iPhone 14 256GB Purple,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_256gb_pink.html,True,iPhone 14 ,256GB,Purple,
iPhone 14 Pro 512GB Deep Purple (APPLE_NEW2022_042),62499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_512gb_sierra_blue.html,True,iPhone 14 Pro,512GB,Deep Purple,
iPhone 15 Pro 256GB Blue Titanium (MTV63RX/A),58499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_256gb_gold.html,True,iPhone 15 Pro,256GB,Blue Titanium,MTV63RX/A
iPhone 12 128GB Green (MGJF3FS/A),27499.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-12-128gb-green.html,True,iPhone 12 ,128GB,Green,MGJF3FS/A
iPhone 13 256 Gb Green (MNGL3HU/A),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_green.html,True,iPhone 13 ,256 Gb,Green,MNGL3HU/A
iPhone 14 Pro 256GB Deep Purple,52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_256gb_sierra_blue.html,True,iPhone 14 Pro,256GB,Deep Purple,
iPhone 15 256GB Green (MTPA3RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_256gb_product_red.html,True,iPhone 15 ,256GB,Green,MTPA3RX/A
iPhone 15 Pro Max 256GB Blue Titanium (MU7A3RX/A),63499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_max_256gb_gold.html,True,iPhone 15 Pro Max,256GB,Blue Titanium,MU7A3RX/A
iPhone 15 Pro 128GB Black Titanium (MTUV3RX/A),53499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_128gb_space_black.html,True,iPhone 15 Pro,128GB,Black Titanium,MTUV3RX/A
iPhone 15 256GB Pink (MTP73RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_256gb_purple.html,True,iPhone 15 ,256GB,Pink,MTP73RX/A
